S1;S0;K;noT;;FS1;FS0;BC2;BC1;BC0;FIN;EJ    
0;0;0;0;;0;0;0;0;0;0;1
0;0;0;1;;0;0;0;0;0;0;1
0;0;1;0;;0;1;0;0;1;0;1
0;0;1;1;;0;0;0;0;0;0;1
0;1;0;0;;0;1;0;0;1;0;1
0;1;0;1;;0;1;0;0;1;0;1
0;1;1;0;;1;0;0;1;0;0;1
0;1;1;1;;0;1;0;0;1;0;1
1;0;0;0;;1;0;0;1;0;0;1
1;0;0;1;;1;0;0;1;0;0;1
1;0;1;0;;1;1;0;1;1;1;0
1;0;1;1;;1;0;0;1;0;0;1
1;1;0;0;;1;1;0;1;1;1;0
1;1;0;1;;1;1;0;1;1;1;0
1;1;1;0;;1;1;0;1;1;1;0
1;1;1;1;;1;1;0;1;1;1;0
