S1,S0,M2,M1,,FS1,FS0,E5P,E3P
1,0,X,X,,1,0,0,0
X,0,1,0,,1,0,0,0
0,1,X,X,,0,1,0,0
0,X,0,1,,0,1,0,0
1,0,X,X,,0,0,1,0
X,0,1,0,,0,0,1,0
0,1,X,X,,0,0,0,1
0,X,0,1,,0,0,0,1
